du,sourcing_unit,product_du,country,month,cases,tonnes
67153824,Lerma,KNR LAT CKN GR RDC S12/7.9 OZ,US Retail,2025-01,6071.0,16.3162
67153824,Lerma,KNR LAT CKN GR RDC S12/7.9 OZ,US Retail,2025-02,3655.0,9.823
67153824,Lerma,KNR LAT CKN GR RDC S12/7.9 OZ,US Retail,2025-03,5311.0,14.2736
67153824,Lerma,KNR LAT CKN GR RDC S12/7.9 OZ,US Retail,2025-04,3820.0,10.2665
67153824,Lerma,KNR LAT CKN GR RDC S12/7.9 OZ,US Retail,2025-05,4172.0,11.2125
67153824,Lerma,KNR LAT CKN GR RDC S12/7.9 OZ,US Retail,2025-06,4794.0,12.8842
67153824,Lerma,KNR LAT CKN GR RDC S12/7.9 OZ,US Retail,2025-07,4512.0,12.1263
67153824,Lerma,KNR LAT CKN GR RDC S12/7.9 OZ,US Retail,2025-08,5780.0,15.5341
67153824,Lerma,KNR LAT CKN GR RDC S12/7.9 OZ,US Retail,2025-09,4469.0,12.0107
67153824,Lerma,KNR LAT CKN GR RDC S12/7.9 OZ,US Retail,2025-10,5236.46,14.0733
67153824,Lerma,KNR LAT CKN GR RDC S12/7.9 OZ,US Retail,2025-11,4691.68,12.6092
67153824,Lerma,KNR LAT CKN GR RDC S12/7.9 OZ,US Retail,2025-12,5498.86,14.7785
68832541,Batavia,KNR MEX BOL TOM/CHK 192 2.5 LB,US Retail,2025-01,473.0,102.9847
68832541,Batavia,KNR MEX BOL TOM/CHK 192 2.5 LB,US Retail,2025-02,352.0,76.6398
68832541,Batavia,KNR MEX BOL TOM/CHK 192 2.5 LB,US Retail,2025-03,682.0,148.4895
68832541,Batavia,KNR MEX BOL TOM/CHK 192 2.5 LB,US Retail,2025-04,514.0,111.9115
68832541,Batavia,KNR MEX BOL TOM/CHK 192 2.5 LB,US Retail,2025-05,581.0,126.4991
68832541,Batavia,KNR MEX BOL TOM/CHK 192 2.5 LB,US Retail,2025-06,557.0,121.2737
68832541,Batavia,KNR MEX BOL TOM/CHK 192 2.5 LB,US Retail,2025-07,719.0,156.5454
68832541,Batavia,KNR MEX BOL TOM/CHK 192 2.5 LB,US Retail,2025-08,501.0,109.081
68832541,Batavia,KNR MEX BOL TOM/CHK 192 2.5 LB,US Retail,2025-09,603.0,131.2891
68832541,Batavia,KNR MEX BOL TOM/CHK 192 2.5 LB,US Retail,2025-10,510.0,111.0406
68832541,Batavia,KNR MEX BOL TOM/CHK 192 2.5 LB,US Retail,2025-11,836.918283305343,182.2193
68832541,Batavia,KNR MEX BOL TOM/CHK 192 2.5 LB,US Retail,2025-12,485.99,105.8129
68832540,Batavia,KNR MEX BOUIL Beef 192 2.5 LB,US Retail,2025-01,131.0,28.5222
68832540,Batavia,KNR MEX BOUIL Beef 192 2.5 LB,US Retail,2025-02,336.0,73.1561
68832540,Batavia,KNR MEX BOUIL Beef 192 2.5 LB,US Retail,2025-03,210.0,45.7226
68832540,Batavia,KNR MEX BOUIL Beef 192 2.5 LB,US Retail,2025-04,274.0,59.6571
68832540,Batavia,KNR MEX BOUIL Beef 192 2.5 LB,US Retail,2025-05,260.0,56.6089
68832540,Batavia,KNR MEX BOUIL Beef 192 2.5 LB,US Retail,2025-06,304.0,66.1889
68832540,Batavia,KNR MEX BOUIL Beef 192 2.5 LB,US Retail,2025-07,307.0,66.8421
68832540,Batavia,KNR MEX BOUIL Beef 192 2.5 LB,US Retail,2025-08,299.0,65.1002
68832540,Batavia,KNR MEX BOUIL Beef 192 2.5 LB,US Retail,2025-09,263.0,57.2621
68832540,Batavia,KNR MEX BOUIL Beef 192 2.5 LB,US Retail,2025-10,311.01,67.7151
68832540,Batavia,KNR MEX BOUIL Beef 192 2.5 LB,US Retail,2025-11,492.248435457322,107.1756
68832540,Batavia,KNR MEX BOUIL Beef 192 2.5 LB,US Retail,2025-12,295.99,64.4449
64786716,Indy,KNR MEX BOUIL CHK 6 2 LB,US Retail,2025-05,5429.0,29.5509
64786716,Indy,KNR MEX BOUIL CHK 6 2 LB,US Retail,2025-06,27774.0,151.1784
64786716,Indy,KNR MEX BOUIL CHK 6 2 LB,US Retail,2025-07,-480.0,-2.6127
64786716,Indy,KNR MEX BOUIL CHK 6 2 LB,US Retail,2025-09,0.0,0.0
64786716,Indy,KNR MEX BOUIL CHK 6 2 LB,US Retail,2025-10,89231.0,485.699
64786716,Indy,KNR MEX BOUIL CHK 6 2 LB,US Retail,2025-11,28507.0,155.1683
64786716,Indy,KNR MEX BOUIL CHK 6 2 LB,US Retail,2025-12,24452.0,133.0963
69559815,Lerma,KNR MEX BOUIL CHK 6 2 LB,US Retail,2025-01,115296.0,627.5751
69559815,Lerma,KNR MEX BOUIL CHK 6 2 LB,US Retail,2025-02,85824.0,467.1541
69559815,Lerma,KNR MEX BOUIL CHK 6 2 LB,US Retail,2025-03,135777.0,739.0565
69559815,Lerma,KNR MEX BOUIL CHK 6 2 LB,US Retail,2025-04,113156.0,615.9267
69559815,Lerma,KNR MEX BOUIL CHK 6 2 LB,US Retail,2025-05,124224.0,676.1716
69559815,Lerma,KNR MEX BOUIL CHK 6 2 LB,US Retail,2025-06,166523.0,906.412
69559815,Lerma,KNR MEX BOUIL CHK 6 2 LB,US Retail,2025-07,63558.0,345.9566
69559815,Lerma,KNR MEX BOUIL CHK 6 2 LB,US Retail,2025-08,45315.0,246.657
69559815,Lerma,KNR MEX BOUIL CHK 6 2 LB,US Retail,2025-09,0.0,0.0
69559815,Lerma,KNR MEX BOUIL CHK 6 2 LB,US Retail,2025-10,95969.0,522.375
69559815,Lerma,KNR MEX BOUIL CHK 6 2 LB,US Retail,2025-11,55510.0,302.15
64321451,Lerma,KNR MEX BOL TOM/CHK 6 2 LB,US Retail,2025-01,9600.0,52.2544
64786715,Indy,KNR MEX BOL TOM/CHK 6 2 LB,US Retail,2025-05,4320.0,23.5145
64786715,Indy,KNR MEX BOL TOM/CHK 6 2 LB,US Retail,2025-06,3637.0,19.7968
64786715,Indy,KNR MEX BOL TOM/CHK 6 2 LB,US Retail,2025-07,56595.0,308.0559
64786715,Indy,KNR MEX BOL TOM/CHK 6 2 LB,US Retail,2025-08,46264.0,251.8226
64786715,Indy,KNR MEX BOL TOM/CHK 6 2 LB,US Retail,2025-09,14932.0,81.2773
64786715,Indy,KNR MEX BOL TOM/CHK 6 2 LB,US Retail,2025-10,1056.0,5.748
64786715,Indy,KNR MEX BOL TOM/CHK 6 2 LB,US Retail,2025-11,69505.0,378.3271
64786715,Indy,KNR MEX BOL TOM/CHK 6 2 LB,US Retail,2025-12,30996.0,168.7163
64786714,Indy,KNR MEX BOUIL Beef 6 2 LB,US Retail,2025-05,13505.0,73.5099
64786714,Indy,KNR MEX BOUIL Beef 6 2 LB,US Retail,2025-06,-192.0,-1.0451
64786714,Indy,KNR MEX BOUIL Beef 6 2 LB,US Retail,2025-07,14400.0,78.3816
64786714,Indy,KNR MEX BOUIL Beef 6 2 LB,US Retail,2025-08,43068.0,234.4262
64786714,Indy,KNR MEX BOUIL Beef 6 2 LB,US Retail,2025-11,19423.0,105.7226
64786714,Indy,KNR MEX BOUIL Beef 6 2 LB,US Retail,2025-12,17558.0,95.5711
69664938,Lerma,KNR MEX BOUIL Beef 6 2 LB,US Retail,2025-01,31567.0,171.8244
69664938,Lerma,KNR MEX BOUIL Beef 6 2 LB,US Retail,2025-02,20290.0,110.4418
69664938,Lerma,KNR MEX BOUIL Beef 6 2 LB,US Retail,2025-03,21797.0,118.6447
69664938,Lerma,KNR MEX BOUIL Beef 6 2 LB,US Retail,2025-04,18771.0,102.1736
69664938,Lerma,KNR MEX BOUIL Beef 6 2 LB,US Retail,2025-05,18346.0,99.8603
